,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
499,300197,铁汉生态,5.11,9.63,25.4946,269.2576,0.1771,2794.8301,1.8391
500,603086,先达股份,5.11,8.87,26.0781,54.1733,0.6771,610.5825,7.6322
501,603339,四方冷链,5.11,15.71,32.1902,69.1706,0.3289,440.0302,2.0929
502,002852,道道全,5.11,6.73,12.7797,94.5508,0.9455,1404.6551,14.0465
503,601326,秦港股份,5.11,18.18,38.1498,617.0387,0.1226,3393.6295,0.6747
504,300347,泰格医药,5.08,16.09,43.1515,119.6295,0.2391,743.1945,1.4858
505,300536,农尚环境,5.08,12.58,26.5171,25.5807,0.2747,203.2092,2.1825
506,300336,新文化,5.07,22.56,30.4446,146.9376,0.2733,651.1541,1.2113
507,002014,永新股份,5.07,9.29,21.374,83.3074,0.2481,896.5821,2.6704
508,300617,安靠智电,5.07,26.39,51.5896,39.1665,0.5874,148.3592,2.2252
509,300172,中电环保,5.07,17.5,30.733,57.9229,0.1142,330.8411,0.6525
510,002820,桂发祥,5.06,19.96,50.1036,50.4667,0.3942,252.7334,1.9744
511,002873,新天药业,5.05,9.11,81.4314,29.6367,0.4302,325.0865,4.7196
512,002879,长缆科技,5.04,23.14,58.0176,67.7685,0.6583,292.7917,2.8444
513,600064,南京高科,5.04,35.59,42.6358,512.9125,0.6639,1441.028,1.8654
514,300375,鹏翎股份,5.03,11.6,26.9639,64.9637,0.3496,559.6999,3.0126
515,000756,新华制药,5.02,4.44,27.4646,106.775,0.2334,2403.2742,5.2552
516,600664,哈药股份,5.01,5.63,26.3607,347.5512,0.1367,6167.9079,2.4271
517,300138,晨光生物,5.01,6.08,16.3702,78.5159,0.2139,1289.5264,3.5141
518,600106,重庆路桥,5.01,147.33,88.9064,175.7687,0.176,119.2983,0.1194
519,002707,众信旅游,5.01,1.88,10.206,95.2514,0.1129,5046.0229,5.982
520,603758,秦安股份,5.0,17.9,30.3449,119.6898,0.2727,668.2955,1.523
521,603985,恒润股份,4.99,13.28,33.476,48.0002,0.6,361.3396,4.5167
522,300580,贝斯特,4.99,20.39,38.3474,58.565,0.2928,287.0905,1.4354
523,002842,翔鹭钨业,4.99,8.76,16.4412,36.9706,0.3697,421.9033,4.219
524,002320,海峡股份,4.98,31.9,50.0412,175.8403,0.3461,551.1664,1.0849
525,000006,深振业A,4.98,13.35,28.1929,249.6065,0.1848,1869.5979,1.3848
526,000900,现代投资,4.98,8.87,16.6164,406.8745,0.402,4582.6071,4.5287
527,002536,西泵股份,4.97,7.77,26.3807,94.6296,0.2834,1217.3083,3.6467
528,603528,多伦科技,4.96,24.78,56.438,65.8176,0.1061,265.5215,0.4282
529,603586,金麒麟,4.96,13.75,32.6423,101.3005,0.4838,736.2659,3.5165
530,300436,广生堂,4.96,18.15,88.5519,27.2599,0.1921,150.1905,1.0586
531,000708,大冶特钢,4.95,3.91,11.3303,189.3284,0.4212,4838.5188,10.7664
532,603505,金石资源,4.95,20.42,40.9157,33.865,0.1411,165.8279,0.6909
533,300183,东软载波,4.95,32.97,59.7442,131.7116,0.2905,399.4776,0.8813
534,603669,灵康药业,4.92,17.68,69.6809,58.9672,0.2267,333.4104,1.2823
535,002771,真视通,4.91,7.94,25.9521,29.6637,0.1835,373.5199,2.3113
536,300485,赛升药业,4.91,39.87,67.8446,105.3074,0.4387,264.1016,1.1004
537,300314,戴维医疗,4.91,26.66,53.9525,37.8395,0.1313,141.9002,0.4927
538,603909,合诚股份,4.9,18.8,41.6334,29.3035,0.293,155.8647,1.5586
539,300129,泰胜风能,4.89,15.11,25.8084,108.322,0.1489,716.5098,0.9854
540,300284,苏交科,4.88,6.2,27.1428,151.5572,0.2701,2440.6006,4.351
541,002237,恒邦股份,4.88,1.92,6.3723,197.4488,0.2168,10249.3133,11.258
542,002310,东方园林,4.87,9.38,31.9411,467.662,0.1744,4984.2969,1.859
543,000062,深圳华强,4.87,6.31,18.0818,195.6619,0.2712,3098.274,4.2953
544,603398,邦宝益智,4.86,19.73,34.963,28.648,0.1356,145.1343,0.6871
545,300272,开能环保,4.86,12.54,37.1573,38.8565,0.0975,309.7454,0.7778
546,000012,南玻A,4.86,7.94,24.4082,392.9922,0.1893,4944.3379,2.3824
547,000417,合肥百货,4.86,3.26,18.6032,176.4863,0.2262,5400.3483,6.9245
548,002394,联发股份,4.85,7.14,18.2096,140.7328,0.4347,1969.0841,6.083
549,002650,加加食品,4.84,10.16,27.9566,99.2489,0.0861,976.0476,0.8472
