,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
779,2354,天神娱乐,互联网,辽宁,19.71,4.24,8.99,1274960.13,252315.91,2946.56,355781.41,3.96,0.263,6.47,3.2,20100209,149510.98,1.66,42.78,118.12,61.92,36.9,20904
780,300338,开元股份,电器仪表,湖南,140.48,1.69,3.4,257778.59,83878.81,28079.9,145081.0,4.27,0.037,5.95,3.51,20120726,19430.93,0.57,27.34,429.63,71.1,14.71,5752
781,2860,星帅尔,电气设备,浙江,36.47,0.15,0.76,66597.65,53418.21,8030.5,27789.98,3.66,0.64,7.76,5.38,20170412,20854.73,2.74,0.0,0.0,41.56,26.62,11200
782,788,北大医药,化学制药,重庆,231.01,5.59,5.96,197082.13,173004.52,16222.32,19917.28,0.33,0.012,1.93,5.61,19970616,31551.34,0.53,13.94,3.01,21.06,1.51,23259
783,603768,常青股份,汽车配件,安徽,32.54,0.51,2.04,235618.7,141034.86,64753.98,79663.78,3.91,0.23,7.67,2.93,20170324,51618.69,2.53,0.0,0.0,21.52,7.03,50124
784,603043,广州酒家,食品,广东,85.19,0.5,4.04,125966.81,0.0,0.0,0.0,0.0,0.066,2.74,8.26,20170627,0.0,0.0,0.0,0.0,0.0,6.97,50746
785,2768,国恩股份,塑料,山东,36.18,0.87,2.4,191983.77,119852.51,40486.46,22617.92,0.94,0.321,3.68,6.31,20150630,37867.8,1.58,54.51,52.81,20.79,9.54,23384
786,2451,摩恩电气,电气设备,上海,543.45,4.14,4.39,174240.84,63572.01,38221.03,6827.16,0.16,0.011,1.54,15.21,20100720,15446.72,0.35,-23.97,-8.17,23.51,6.41,19411
787,601137,博威合金,铜,浙江,33.45,5.64,6.27,480594.94,271910.09,139290.88,187757.2,2.99,0.088,5.06,2.31,20110127,57896.63,0.92,41.88,14.88,11.79,4.32,19588
788,603228,景旺电子,元器件,深圳,30.84,0.48,4.08,440817.06,297710.94,113668.31,104656.93,2.57,0.774,7.39,6.46,20170106,149305.95,3.66,31.52,29.17,32.04,16.03,17562
789,2313,日海通讯,通信设备,深圳,129.98,3.12,3.12,378381.25,319085.31,32042.66,106788.07,3.42,0.092,6.11,3.91,20091203,47059.9,1.51,-5.16,187.94,22.01,2.82,20000
790,603617,君禾股份,专用机械,浙江,31.74,0.25,1.0,63547.91,47211.94,12492.48,19398.45,1.94,0.44,4.51,5.37,20170703,14098.34,1.41,0.0,0.0,27.02,11.64,26186
791,722,湖南发展,水力发电,湖南,41.41,4.64,4.64,310680.97,94393.3,163163.66,213774.05,4.61,0.146,5.95,2.04,19970522,13924.65,0.3,-9.64,-29.75,58.4,45.64,41246
